No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称,字幕
1,Home, 3.00 GiB,1280 * 718, 1h 42mn,4187 Kbps,Home.Alone.3.1997.720p.WEB-DL.XviD.AC3-RARBG,,Home.Alone.3.1997.720p.WEB-DL.XviD.AC3-RARBG.avi未知字幕
2,亲爱的我把我们放大缩小了【1.2.3】, 2.19 GiB,720 * 528, 1h 11mn,4357 Kbps,Honey,We.Shrunk.Ourselves.1997.DVDRip.AVC,,Honey,We.Shrunk.Ourselves.1997.DVDRip.AVC.mkv外挂中文
3,亲爱的我把我们放大缩小了【1.2.3】, 2.71 GiB,1280 * 716, 1h 29mn,4346 Kbps,Honey.I.Blew.Up.the.Kid.1992.720p.WEB-DL.DD5.1.h.264-fiend,,Honey.I.Blew.Up.the.Kid.1992.720p.WEB-DL.DD5.1.h.264-fiend.mkv外挂中文
4,亲爱的我把我们放大缩小了【1.2.3】, 3.06 GiB,1280 * 692, 1h 33mn,4679 Kbps,Honey.I.Shrunk.the.Kids.1989.720p.WEB-DL.DD5.1.H264-FGT,,Honey.I.Shrunk.the.Kids.1989.720p.WEB-DL.DD5.1.H264-FGT.mkv外挂中文
5,夏洛特烦恼, 3.01 GiB,1280 * 720, 1h 43mn,4149 Kbps,夏洛特烦恼.Goodbye.Mr.Loser.2015.BluRay.720p.x264.AC3-CnSCG,,[夏洛特烦恼]Goodbye.Mr.Loser.2015.BluRay.720p.x264.AC3-CnSCG[简繁中字3G].mkv内嵌字幕
6,我的特工爷爷, 2.08 GiB,1920 * 808, 1h 37mn,3067 Kbps,我的特工爷爷.My Beloved Bodyguard 2016 1080p WEB-DL x264 2Audio-SeeHD,,My Beloved Bodyguard 2016 1080p WEB-DL x264 2Audio-SeeHD.mkv内嵌字幕
7,南方娱乐（bbs, 2.23 GiB,1024 * 576, 1h 29mn,3562 Kbps,南方娱乐（bbs.nfyl.net).七金刚 .中英字幕.NFYL,,南方娱乐（bbs.nfyl.net).七金刚 .中英字幕.NFYL (1).mkv内嵌字幕
8,南方娱乐（bbs, 2.23 GiB,1024 * 576, 1h 29mn,3562 Kbps,南方娱乐（bbs.nfyl.net).七金刚 .中英字幕.NFYL,,南方娱乐（bbs.nfyl.net).七金刚 .中英字幕.NFYL.mkv内嵌字幕
9,美人鱼, 3.00 GiB,1280 * 720, 1h 33mn,4574 Kbps,美人鱼.Mermaid.2016.BluRay.720p.x264.2Audio.AC3-CnSCG,,[美人鱼]Mermaid.2016.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv内嵌字幕
10,0615, 1.62 GiB,1024 * 576, 1h 20mn,2900 Kbps,0615,,Home Alone 4 (2002) (1).mkv未知字幕
11,0615, 1.73 GiB,1024 * 576, 1h 20mn,3092 Kbps,0615,,Home Alone 4 (2002) (2).mkv未知字幕
12,0615, 1.73 GiB,1024 * 576, 1h 20mn,3092 Kbps,0615,,Home Alone 4 (2002).mkv未知字幕
